new_index,figi,name,ticker,exchCode,compositeFIGI,securityType,marketSector,shareClassFIGI,securityType2,securityDescription,uniqueID,uniqueIDFutOpt
146,BBG000CLNMR6,ADAMERA MINERALS CORP,DDNFF,US,BBG000CLNMR6,Common Stock,Equity,BBG001SFK0V6,Common Stock,DDNFF,,
147,BBG000BYB544,ADAMIS PHARMACEUTICALS CORP,ADMP,US,BBG000BYB544,Common Stock,Equity,BBG001S7DWV2,Common Stock,ADMP,,
148,BBG000BR0B93,ADAMS NATURAL RESOURCES FUND,PEO,US,BBG000BR0B93,Closed-End Fund,Equity,BBG001S5V3Q6,Mutual Fund,PEO,,
149,BBG000CLH8B1,ADAMS PLC,D1DA,GR,BBG000CLH8B1,Common Stock,Equity,BBG001SM1H18,Common Stock,D1DA,,
150,BBG000DRTF73,ADANI ENTERPRISES LTD,ADE,IN,BBG000DRTF73,Common Stock,Equity,BBG001S8CL72,Common Stock,ADE,,
151,BBG00BQZTW52,ADANI GREEN ENERGY LTD,ADANIGR,IN,BBG00BQZTW52,Common Stock,Equity,BBG00BQZTW61,Common Stock,ADANIGR,,
152,BBG000L4ZG49,ADANI PORTS AND SPECIAL ECON,ADSEZ,IN,BBG000L4ZG49,Common Stock,Equity,BBG001SPYP53,Common Stock,ADSEZ,,
153,BBG000VHQ7T2,ADANI POWER LTD,ADANI,IN,BBG000VHQ7T2,Common Stock,Equity,BBG001T2N7D6,Common Stock,ADANI,,
154,BBG008396QB3,ADANI TRANSMISSION  LTD,ADANIT,IN,BBG008396QB3,Common Stock,Equity,BBG008396QF9,Common Stock,ADANIT,,
155,BBG008G65WC2,ADAPTIMMUNE THERAPEUTICS-ADR,ADAP,US,BBG008G65WC2,ADR,Equity,BBG008G65WD1,Depositary Receipt,ADAP,,
156,BBG000DQDZ96,ADAPTIVE AD SYSTEMS INC,AATV,US,BBG000DQDZ96,Common Stock,Equity,BBG001SGH8Q7,Common Stock,AATV,,
157,BBG001J2PFF5,ADAPTIVE BIOTECHNOLOGIES,ADPT,US,BBG001J2PFF5,Common Stock,Equity,BBG001V0GG18,Common Stock,ADPT,,
158,BBG000C1BDH4,ADAPTIVE MEDIAS INC,ADTM,US,BBG000C1BDH4,Common Stock,Equity,BBG001STSKG1,Common Stock,ADTM,,
159,BBG000BX3GJ5,ADASTRIA CO LTD,1E0,GR,BBG000BX3GJ5,Common Stock,Equity,BBG001SCTKS4,Common Stock,1E0,,
160,,,,,,,,,,,,
161,BBG00LQ6CJL3,ADCORE INC,ADCO,CN,BBG00LQ6CJL3,Common Stock,Equity,BBG00LQ6CL10,Common Stock,ADCO,,
162,BBG009R6DP43,ADDENTAX GROUP CORP,ATXG,US,BBG009R6DP43,Common Stock,Equity,BBG009R6DP52,Common Stock,ATXG,,
