,Code,Exchange,Name,Type,Country,Currency,ISIN,previousClose,previousCloseDate
224,AEGISCHEM,NSE,Aegis Logistics Limited,Common Stock,India,INR,INE208C01025,244.65,2022-07-21
225,500003,BSE,Aegis Logistics Limited,Common Stock,India,INR,INE208C01025,244.85,2022-07-21
226,AEGISLOG,BSE,AEGIS LOGISTICS LTD.,Common Stock,India,INR,INE208C01025,244.85,2022-07-21
227,AGLE,US,Aeglea Bio Therapeutics Inc,Common Stock,USA,USD,US00773J1034,0.466,2022-07-21
228,AWX,SG,AEM Holdings Ltd,Common Stock,Singapore,SGD,SG1BA1000003,4.07,2022-07-21
229,AMTX,US,Aemetis Inc,Common Stock,USA,USD,US00770K2024,5.57,2022-07-21
230,AOLS,US,Aeolus Pharmaceuticl,Common Stock,USA,USD,US00765G1094,0.0001,2022-07-21
231,600469,SHG,Aeolus Tyre Co Ltd,Common Stock,China,CNY,CNE000001G46,4.8,2022-07-21
232,8570,TSE,Aeon Financial Service Co Ltd,Common Stock,Japan,JPY,JP3131400008,1384.0,2022-07-21
233,AGHC,US,Aeon Global Health Corp,Common Stock,USA,USD,US00774U1079,0.0001,2022-07-20
234,8905,TSE,Aeon Mall Co Ltd,Common Stock,Japan,JPY,JP3131430005,1673.0,2022-07-21
235,AML,AU,Aeon Metals Ltd,Common Stock,Australia,AUD,AU000000AML5,0.028,2022-07-21
236,AQS,V,Aequus Pharmaceuticals Inc,Common Stock,Canada,CAD,CA0076361033,0.07,2022-07-21
237,AER,US,AerCap Holdings NV,Common Stock,USA,USD,NL0000687663,44.11,2022-07-21
238,AERI,US,Aerie Pharmace,Common Stock,USA,USD,US00771V1089,7.95,2022-07-21
239,AEI,AU,Aeris Environmental Ltd,Common Stock,Australia,AUD,AU000000AEI8,0.057,2022-07-21
240,AIS,AU,Aeris Resources Ltd,Common Stock,Australia,AUD,AU000000AIS8,0.47,2022-07-21
241,AKOM,PA,Aerkomm Inc,Common Stock,France,EUR,US00774B2088,8.0,2022-07-20
242,AFLT,MCX,Aeroflot,Common Stock,Russia,RUB,RU0009062285,27.58,2022-07-21
243,AJRD,US,Aerojet Rocketdyne Holdings Inc,Common Stock,USA,USD,US0078001056,42.53,2022-07-21
244,000901,SHE,Aerospace Hi-Tech Holding Group Co Ltd,Common Stock,China,CNY,CNE000000Y86,9.5,2022-07-21
245,600501,SHG,Aerosun Corp,Common Stock,China,CNY,CNE000001857,11.4,2022-07-21
246,AVAV,US,AeroVironment Inc,Common Stock,USA,USD,US0080731088,82.92,2022-07-21
247,AEVS,SW,Aevis Victoria SA,Common Stock,Switzerland,CHF,CH0478634105,18.95,2022-07-21
248,L38,SG,AF Global Limited,Common Stock,Singapore,SGD,SG1C01001033,0.096,2022-07-21
249,AFAGR,HE,Afarak Group Oyj,Common Stock,Finland,EUR,FI0009800098,0.35,2022-07-21
250,AFC,LSE,AFC Energy plc,Common Stock,UK,GBX,GB0030895238,23.78,2022-07-21
251,AFHL,TA,Afcon Holdings Ltd,Common Stock,Israel,ILA,IL0005780130,15170.0,2022-07-21
252,AMG,US,Affiliated Managers Group Inc,Common Stock,USA,USD,US0082521081,121.57,2022-07-21
253,ABVG,US,Affinity Beverage Group Inc,Common Stock,USA,USD,US00831F1012,0.0001,2022-07-21
254,AFYG,US,Affinity Gold Corp,Common Stock,USA,USD,US00829M1009,0.0001,2022-07-21
255,AFF,V,Affinity Metals Corp,Common Stock,Canada,CAD,CA00827Y1060,0.05,2022-07-20
256,1466,HK,Affluent Partners Holdings Ltd,Common Stock,Hong Kong,HKD,KYG0130B1014,0.238,2022-07-21
257,AFFY,US,Affymax Inc.,Common Stock,USA,USD,US00826A1097,0.0062,2022-07-21
