new_index,longName,marketName,secIdList,Origin_Name,Origin_Stock,Origin_Country
181,ADIRONDACK TRUST CO SARATOGA,CURRENT,US0070141033,ADIRONDACK TRUST CO SARATOGA,ADKT,United States of America
182,ADITYA BIRLA CAPITAL LIMITED,ABCAPITAL,INE674K01013,ADITYA BIRLA CAPITAL LIMITED,ABCAPITAL,India
183,ADITYA BIRLA MONEY LTD,BIRLAMONE,INE865C01022,ADITYA BIRLA MONEY LTD,BIRLAMONE,India
184,ADMA BIOLOGICS INC,NMS,US0008991046,ADMA BIOLOGICS INC,ADMA,United States of America
185,ADOBE INC,NMS,US00724F1012,ADOBE INC,ADBE,United States of America
186,ADOR WELDING LTD,ADORWELD,INE045A01017,ADOR WELDING LTD,ADORWELD,India
187,ADP,ADPN,FR0010340141,ADP,ADPN,Mexico
188,ADRIATIC METALS PLC-CDI,ADT,AU0000004772,ADRIATIC METALS PLC-CDI,ADT,Australia
189,ADROIT INFOTECH LTD,ADROITINF,INE737B01033,ADROIT INFOTECH LTD,ADROITINF,India
190,ADSTAR INC,ADST,US00737P1049,ADSTAR INC,ADST,
191,ADTALEM GLOBAL EDUCATION INC,ATGE,US00737L1035,ADTALEM GLOBAL EDUCATION INC,ATGE,United States of America
192,ADTEC PLASMA TECHNOLOGY CO,6668,JP3122010006,ADTEC PLASMA TECHNOLOGY CO,6668,Japan
193,ADVAL TECH HOLDING AG-REG,ADVN,CH0008967926,ADVAL TECH HOLDING AG-REG,ADVN,Switzerland
194,ADVANCE AUTO PARTS INC,AAP,US00751Y1064,ADVANCE AUTO PARTS INC,AAP,Mexico
195,ADVANCED MEDIA INC,3773,JP3122150000,ADVANCED MEDIA INC,3773,Japan
196,ADVANCED MICRO DEVICES,NMS,US0079031078,ADVANCED MICRO DEVICES,AMD,United States of America
197,ADVANCER GLOBAL LTD,43Q,SG1CJ7000006,ADVANCER GLOBAL LTD,43Q,Singapore
198,ADVANEX INC,5998,JP3213400009,ADVANEX INC,5998,Japan
199,ADVANI HOTELS & RES (INDIA),ADVANIHOT,INE199C01026,ADVANI HOTELS & RES (INDIA),ADVANIHOT,India
